,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options_laundry on site,laundry_options_no laundry on site,laundry_options_w/d hookups,laundry_options_w/d in unit,parking_options_attached garage,parking_options_carport,parking_options_detached garage,parking_options_off-street parking,parking_options_street parking
191,1200,940,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
192,1200,1000,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
193,1200,940,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
194,1275,900,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
195,800,500,0,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
196,973,586,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
197,800,500,0,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
198,1209,900,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
199,800,500,0,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
200,1199,745,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
201,1248,938,2,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
202,1337,970,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
203,1095,1000,2,2.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
204,0,778,2,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
205,1190,1006,2,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
206,1220,868,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
207,975,926,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
208,1199,910,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
209,1438,1006,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
210,1190,797,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
211,1305,1067,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
212,1146,950,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
213,955,694,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
214,1030,946,2,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
215,2036,982,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
216,1400,769,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
217,1403,770,1,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
218,975,926,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
219,1441,1208,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
220,725,590,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
221,1085,667,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
222,1160,902,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
223,912,833,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
224,1115,1144,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
225,0,778,2,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
226,795,491,0,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
227,685,569,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
228,1520,1146,3,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
229,1301,1003,2,2.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
230,1425,1213,2,2.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
231,1535,1253,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
232,1677,1098,2,2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
233,785,502,0,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
234,1212,916,2,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
235,975,863,2,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
236,0,778,2,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
237,1423,988,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
238,1095,1295,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
239,1773,1133,3,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
240,1389,1205,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
241,1330,503,0,1.0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
242,1105,605,1,1.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
243,1400,1050,2,2.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
244,1648,1133,3,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
245,1130,811,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
246,1035,550,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
247,1183,805,2,2.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
248,799,600,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
249,1089,771,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
250,845,550,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
251,1105,605,1,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
252,219,300,0,1.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
253,845,702,2,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
254,1431,971,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
255,749,555,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
256,792,375,0,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
257,1246,900,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
258,875,636,2,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
259,695,475,0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
