,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
359036,1183,apartment,805,2,2.0,1,1,1,0,0,0,laundry on site,carport
359037,799,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,carport
359038,1089,apartment,771,1,1.0,0,0,1,0,0,0,,
359039,845,apartment,550,1,1.0,1,1,1,0,0,0,laundry on site,carport
359040,1105,apartment,605,1,1.0,1,1,0,0,0,0,w/d in unit,
359041,219,apartment,300,0,1.0,1,1,0,1,0,1,,
359042,845,apartment,702,2,1.0,1,1,1,0,0,0,w/d in unit,carport
359043,1431,apartment,971,2,2.0,1,1,1,0,0,0,w/d in unit,
359045,749,apartment,555,1,1.0,0,0,1,0,0,0,,
359046,792,apartment,375,0,1.0,1,1,1,0,0,1,laundry on site,
359047,1246,apartment,900,2,2.0,0,0,1,0,0,0,,
359048,875,apartment,636,2,1.0,1,1,1,0,0,0,,
359050,695,apartment,475,0,1.0,1,1,1,0,0,0,,
359051,665,apartment,329,0,1.0,1,1,1,0,0,0,,
359052,0,apartment,778,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
359053,920,apartment,853,2,1.0,1,1,1,0,0,0,,
359054,981,apartment,540,1,1.0,1,1,1,0,0,1,laundry on site,
359055,706,apartment,555,1,1.0,0,0,1,0,0,0,,
359056,850,apartment,650,2,2.0,1,1,1,1,0,0,laundry on site,carport
359057,795,apartment,491,1,1.0,1,1,1,0,0,0,,
359058,955,apartment,900,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
359059,845,apartment,720,1,1.0,0,0,1,0,0,0,w/d in unit,carport
359060,1205,apartment,970,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359061,979,apartment,991,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359062,1340,apartment,970,2,0.0,1,1,1,0,0,0,w/d in unit,carport
359063,1200,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
359064,1301,apartment,1042,2,2.0,0,0,1,0,0,0,,
359065,1451,apartment,978,2,2.0,1,1,1,0,0,0,laundry on site,detached garage
359066,856,apartment,418,0,1.0,0,0,1,0,0,0,,
359067,733,apartment,455,0,1.0,0,0,1,0,0,0,,
359068,1250,apartment,960,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359069,1084,apartment,800,1,1.0,0,0,1,0,0,0,,
359070,1605,apartment,1107,3,2.0,1,1,1,0,0,0,,
359071,1411,apartment,967,2,2.0,1,1,1,0,0,0,w/d in unit,
359072,1278,apartment,1190,2,2.0,0,0,1,0,0,0,,
359074,1900,apartment,1257,3,2.0,1,1,1,0,0,0,w/d in unit,carport
359075,1325,apartment,1204,3,2.0,1,1,0,0,0,0,,
359076,940,apartment,640,1,1.0,1,1,1,0,0,0,laundry on site,carport
359077,849,apartment,470,0,1.0,0,0,1,0,0,0,,
359078,1074,apartment,716,1,1.0,1,1,1,0,0,0,w/d in unit,
359079,1540,apartment,1112,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359080,1204,apartment,805,2,2.0,1,1,1,0,0,0,laundry on site,carport
359081,1192,apartment,741,1,1.0,1,1,1,0,0,0,laundry on site,detached garage
359082,1005,apartment,800,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359083,1052,apartment,779,2,1.0,0,0,1,0,0,0,,
359084,1170,apartment,1107,2,2.0,0,0,1,0,0,0,,
359085,1100,apartment,476,0,1.0,1,1,1,0,0,0,w/d in unit,carport
359086,1262,apartment,772,1,1.0,1,1,1,1,0,0,w/d in unit,
359087,1140,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359088,1485,apartment,1382,3,2.0,1,1,1,0,0,0,w/d in unit,carport
359089,1065,apartment,720,1,1.0,1,1,1,0,0,0,w/d in unit,
359090,830,apartment,336,0,1.0,1,1,1,0,0,0,,
359091,1510,apartment,2,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
359092,1178,apartment,676,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage
359093,920,apartment,730,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359095,1070,apartment,814,1,1.0,0,0,1,0,0,0,,
359096,850,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
359097,1150,apartment,934,2,2.0,0,0,1,0,0,0,w/d in unit,carport
359099,875,apartment,555,1,1.0,1,1,1,0,0,0,laundry in bldg,carport
359100,1396,apartment,983,2,2.0,0,0,1,0,0,0,,
359101,1019,apartment,964,2,2.0,0,1,1,0,0,0,w/d in unit,carport
359102,679,apartment,240,0,1.0,0,0,1,0,0,0,,
359103,1297,apartment,1078,2,2.0,0,0,1,0,0,0,,
359104,773,apartment,676,1,1.0,0,0,1,0,0,0,,
359105,955,apartment,900,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
359106,1145,apartment,1008,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
359107,1403,apartment,1050,2,2.0,0,0,1,0,0,0,,
359108,994,apartment,900,2,2.0,0,0,1,0,0,0,,
359110,1150,apartment,961,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359111,920,apartment,456,1,1.0,0,0,1,0,0,0,,
359112,1438,apartment,1006,2,2.0,0,0,1,0,0,0,,
359113,1678,apartment,1069,3,2.0,1,1,1,0,0,0,w/d in unit,detached garage
359114,1169,apartment,341,0,1.0,1,1,0,1,0,0,w/d in unit,detached garage
359115,1250,apartment,941,2,2.0,1,1,1,0,0,0,laundry on site,
359117,850,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
359118,1092,apartment,825,1,1.0,0,0,1,0,0,0,,
359119,905,apartment,660,1,1.0,0,0,1,0,0,0,,
359120,1204,apartment,979,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359121,2750,apartment,650,1,1.0,1,1,0,0,0,1,,
359122,1285,apartment,1013,2,2.0,0,0,1,0,0,0,,
359123,985,apartment,658,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359124,1105,apartment,605,1,1.0,1,1,0,0,0,0,w/d in unit,
359125,1459,apartment,1068,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359127,1034,apartment,771,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
359128,1425,apartment,846,2,2.0,0,0,1,0,0,0,,
359129,1,apartment,1382,2,2.5,1,1,1,0,0,0,w/d in unit,
359130,1355,apartment,1088,2,1.0,1,1,1,0,0,0,w/d in unit,carport
359132,1299,apartment,1043,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359133,1140,apartment,710,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359134,1065,apartment,790,1,1.0,1,1,1,1,0,0,w/d in unit,carport
359135,1250,apartment,960,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359136,1150,apartment,841,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359137,1453,apartment,1006,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359138,1157,apartment,1152,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359139,1050,apartment,680,1,1.0,0,0,1,0,0,0,,
359140,1067,apartment,942,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359141,1070,apartment,814,1,1.0,0,0,1,0,0,0,,
359142,1054,apartment,670,1,1.0,1,1,1,0,0,0,,
359143,951,apartment,800,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359144,1085,apartment,731,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359145,1227,apartment,961,2,2.0,1,1,1,0,0,0,,
359146,1049,apartment,670,1,1.0,1,1,1,0,0,0,,
359147,1385,apartment,1006,2,2.0,0,0,1,0,0,0,,
359148,1178,apartment,676,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage
359149,1475,apartment,1218,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage
359150,960,apartment,703,2,1.0,1,1,0,1,0,1,w/d in unit,detached garage
359151,1085,apartment,1325,2,2.0,1,1,1,0,0,0,w/d in unit,carport
359152,1000,apartment,812,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage
359153,1085,apartment,731,1,1.0,1,1,1,0,0,0,w/d in unit,
359154,1325,apartment,828,1,1.0,1,1,1,1,0,0,w/d in unit,attached garage
359155,1438,apartment,1006,2,2.0,0,0,1,0,0,0,,
359157,1000,apartment,876,3,1.0,1,1,1,0,0,0,laundry on site,carport
359158,1010,apartment,684,1,1.0,1,1,1,0,0,0,w/d in unit,carport
359159,955,apartment,900,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
359160,1370,apartment,778,2,1.0,1,1,1,0,0,0,w/d in unit,carport
359161,979,apartment,864,2,2.0,1,1,1,0,0,0,laundry on site,carport
359162,795,apartment,491,0,1.0,1,1,1,0,0,0,w/d in unit,off-street parking
359163,1055,apartment,602,1,1.0,0,0,1,0,0,0,w/d in unit,carport
359164,2750,apartment,650,1,1.0,1,1,0,0,0,1,,
359165,1282,apartment,988,2,2.0,1,1,1,0,0,0,,
359166,870,apartment,570,1,1.0,0,0,1,0,0,0,,
