,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
271,1340,apartment,970,2,0.0,1,1,1,0,0,0,w/d in unit,carport
272,1200,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
273,1301,apartment,1042,2,2.0,0,0,1,0,0,0,no laundry on site,None
274,1451,apartment,978,2,2.0,1,1,1,0,0,0,laundry on site,detached garage
275,856,apartment,418,0,1.0,0,0,1,0,0,0,no laundry on site,None
276,733,apartment,455,0,1.0,0,0,1,0,0,0,no laundry on site,None
277,1250,apartment,960,2,2.0,1,1,1,0,0,0,w/d in unit,carport
278,1084,apartment,800,1,1.0,0,0,1,0,0,0,no laundry on site,None
279,1605,apartment,1107,3,2.0,1,1,1,0,0,0,no laundry on site,None
280,1411,apartment,967,2,2.0,1,1,1,0,0,0,w/d in unit,None
281,1278,apartment,1190,2,2.0,0,0,1,0,0,0,no laundry on site,None
282,1900,apartment,1257,3,2.0,1,1,1,0,0,0,w/d in unit,carport
283,1325,apartment,1204,3,2.0,1,1,0,0,0,0,no laundry on site,None
284,940,apartment,640,1,1.0,1,1,1,0,0,0,laundry on site,carport
285,849,apartment,470,0,1.0,0,0,1,0,0,0,no laundry on site,None
286,1074,apartment,716,1,1.0,1,1,1,0,0,0,w/d in unit,None
287,1540,apartment,1112,2,2.0,1,1,1,0,0,0,w/d in unit,carport
288,1204,apartment,805,2,2.0,1,1,1,0,0,0,laundry on site,carport
289,1192,apartment,741,1,1.0,1,1,1,0,0,0,laundry on site,detached garage
290,1005,apartment,800,1,1.0,1,1,1,0,0,0,w/d in unit,carport
291,1052,apartment,779,2,1.0,0,0,1,0,0,0,no laundry on site,None
292,1170,apartment,1107,2,2.0,0,0,1,0,0,0,no laundry on site,None
293,1100,apartment,476,0,1.0,1,1,1,0,0,0,w/d in unit,carport
294,1262,apartment,772,1,1.0,1,1,1,1,0,0,w/d in unit,None
295,1140,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,carport
296,1485,apartment,1382,3,2.0,1,1,1,0,0,0,w/d in unit,carport
297,1065,apartment,720,1,1.0,1,1,1,0,0,0,w/d in unit,None
298,830,apartment,336,0,1.0,1,1,1,0,0,0,no laundry on site,None
299,1510,apartment,2,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
300,1178,apartment,676,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage
301,920,apartment,730,1,1.0,1,1,1,0,0,0,w/d in unit,carport
302,1070,apartment,814,1,1.0,0,0,1,0,0,0,no laundry on site,None
303,850,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
